"titulo","consultas","fecha"
"TECNOLOGO EN SEGURIDAD E HIGIENE OCUPACIONAL","3","2026-04-01"
"TECNOLOGO EN ADMINISTRACION Y FINANZAS","1","2026-04-01"
"TECNICO EN SEGURIDAD INTEGRAL","1","2026-04-01"
"TECNOLOGO EN GESTION DEL TALENTO HUMANO","2","2026-04-01"
"ADMINISTRACION EN SALUD","1","2026-04-01"
"TECNOLOGO EN HIGIENE Y SEGURIDAD SOCIAL","1","2026-04-01"
"TECNOLOGO EN COMUNICACIONES AERONAUTICAS","1","2026-04-01"
"HUMANO","2","2026-04-01"
"HIGIENE OCUPACIONAL","1","2026-04-01"
"TECNICO RECURSOS HUMANOS","1","2026-04-01"
"REGENTE DE FARMACIA","3","2026-04-01"
"TECNOLOGO EN REGENTE DE FARMACIA","1","2026-04-01"
"TECNOLOGO  GESTION EN LOGISTICA INTERNACIONAL","1","2026-04-01"
"EXTERIOR","2","2026-04-01"
"TECNICO LABORAL POR COMPETENCIAS EN INFORMATICA Y MANTENIMIENTO DE COMPUTADORES","1","2026-04-01"
"INFORMATICA","1","2026-04-01"
"ASISTENTE ADMINISTRATIVO","1","2026-04-01"
"TEC POR COMPETENCIA EN ELECTRICIDAD Y TECNOLOGÍA EN ELECTROMECÁNICA","1","2026-04-01"
"TECNOLOGO EN GESTION CONTABLE Y DE INFORMACION FINANCIERA","1","2026-04-01"
"TECNICO EN ENSAMBLE Y MANTENIMIENTO DE SISTEMAS Y COMPUTADORAS","1","2026-04-01"
"TECNICO LABORAL EN COMPETENCIAS","1","2026-04-01"
"TECNOLOGO EN GESTION ADMINISTRATIVA","1","2026-04-01"
"TÉCNICO EN AUXILIAR ADMINISTRATIVO SISTEMATIZADO","1","2026-04-01"
"TECNICO EN AUXILIAR ADMINISTRATIVO SISTEMATIZADO","1","2026-04-01"
"TECNICO EN AUXILIAR ADMINISTRATIVO SISTEMATIZADO","1","2026-04-01"
"TECNOLOGO EN ELECTROMECANICA","1","2026-04-01"
"TECNICO LABORAL EN COMPETENCIAS AXULIAR BANCARIO Y FINANCIERO","1","2026-04-01"
"ELECTROMECANICA","1","2026-04-01"
"TECNICO LABORAL POR COMPETENCIAS AUXILIAR BANCARIO Y FINANCIERO","1","2026-04-01"
"TECNOLOGO EN GESTION ADMINISTRATIVA","1","2026-04-01"
"GESTION ADMINISTRATIVA","1","2026-04-01"
"TECNICO LABORAL EN ASISTENTE ADMINISTRATIVO","1","2026-04-01"
"TECNOLOGO EN TOPOGRAFIA","1","2026-04-01"
"ABASTECIMIENTO","1","2026-04-01"
"TECNOLOGO EN MERCADOS","1","2026-04-01"
